timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
0,17,172.16.133.57,53807,68.64.21.62,1853
1,17,172.16.133.56,49514,68.64.21.42,1853
5,17,172.16.133.49,58246,68.64.21.41,1853
6,6,172.16.133.103,63406,216.115.222.200,443
11,6,172.16.133.114,55270,67.217.65.49,443
13,6,172.16.133.114,55272,67.217.64.49,443
13,6,172.16.133.114,55273,67.217.66.49,443
14,6,172.16.133.57,60589,157.56.242.198,443
14,6,172.16.133.82,61238,96.43.146.50,443
14,6,172.16.133.82,61240,96.43.146.50,443
15,17,172.16.133.99,56566,67.217.78.32,1853
16,6,172.16.133.82,61236,96.43.146.50,443
17,6,172.16.133.82,61239,96.43.146.50,443
17,6,172.16.133.82,61237,96.43.146.50,443
18,6,172.16.133.109,49451,96.43.146.22,443
20,6,172.16.133.82,61247,96.43.146.50,443
24,17,172.16.133.114,49319,68.64.21.44,1853
25,17,172.16.133.47,51444,68.64.21.45,1853
25,17,172.16.133.118,56495,68.64.21.45,1853
25,6,172.16.133.49,54982,67.217.65.65,443
26,6,172.16.133.49,54984,67.217.64.65,443
26,6,172.16.133.49,54985,67.217.66.65,443
31,17,172.16.133.39,55445,67.217.78.36,1853
32,6,172.16.133.78,58865,24.44.106.119,18131
32,6,172.16.133.78,62209,128.119.195.145,38677
33,17,172.16.133.37,55363,68.64.21.36,1853
39,17,172.16.133.85,51035,68.64.29.28,1853
46,17,172.16.133.60,63861,68.64.21.41,1853
53,6,172.16.133.82,61249,96.43.146.176,443
57,17,172.16.133.207,50477,68.64.21.45,1853
59,6,172.16.133.75,58186,157.56.241.150,443
60,6,172.16.133.99,51685,216.115.216.44,443
60,6,172.16.133.99,51686,216.219.115.17,443
60,6,172.16.133.99,51683,64.74.80.15,443
61,6,172.16.133.99,51687,216.115.217.144,443
61,17,172.16.133.36,62603,68.64.21.42,1853
62,6,172.16.133.36,65067,216.115.219.126,443
63,6,172.16.133.103,63407,66.151.158.187,443
65,6,172.16.133.103,63408,216.219.112.250,443
66,6,172.16.133.76,60548,5.79.25.106,443
71,6,172.16.133.60,62038,67.217.64.49,443
73,6,172.16.133.37,49741,96.43.146.48,443
77,17,172.16.133.67,56707,68.64.21.46,1853
77,6,172.16.133.82,61246,96.43.146.50,443
80,6,172.16.133.99,55867,96.43.146.176,443
81,6,172.16.133.53,53643,67.217.64.49,443
86,6,172.16.133.82,61245,96.43.146.50,443
86,6,172.16.133.82,61242,96.43.146.50,443
87,6,172.16.133.82,61243,96.43.146.50,443
87,6,172.16.133.82,61244,96.43.146.50,443
90,17,172.16.133.92,64264,68.64.29.40,1853
91,6,172.16.133.132,44296,98.138.19.88,80
92,6,172.16.133.78,58631,157.56.241.150,443
92,17,172.16.133.53,60838,68.64.21.40,1853
95,17,172.16.133.26,54654,68.64.21.37,1853
98,6,172.16.133.109,49453,96.43.146.22,443
105,17,172.16.133.6,63229,8.8.8.8,53
112,6,172.16.133.78,54905,66.31.24.112,32450
113,6,172.16.133.132,54613,216.185.152.111,80
127,6,172.16.133.132,38625,98.139.134.187,80
140,6,172.16.133.75,58187,157.56.241.150,443
143,6,172.16.133.82,60073,96.43.146.176,443
151,6,172.16.133.18,49879,157.56.238.6,443
156,6,172.16.133.118,57961,68.64.28.20,443
158,6,172.16.133.26,53038,67.217.65.99,443
164,6,172.16.133.26,53041,67.217.66.99,443
166,6,172.16.133.26,53040,67.217.64.99,443
168,6,172.16.133.25,59904,24.63.143.150,10943
173,17,172.16.133.118,56497,68.64.28.164,8200
177,6,172.16.133.82,61235,64.56.203.22,443
191,6,172.16.133.207,55649,67.217.66.54,443
192,6,172.16.133.207,55648,67.217.64.54,443
192,6,172.16.133.207,55646,67.217.65.54,443
197,6,172.16.133.57,60587,157.56.242.198,443
205,6,172.16.133.132,54620,216.185.152.111,80
205,6,172.16.133.103,63409,202.173.24.200,443
205,6,172.16.133.121,53746,157.56.232.214,443
206,6,172.16.133.121,53745,157.56.232.214,443
216,6,172.16.133.82,61234,64.56.203.22,443
216,6,172.16.133.82,60717,216.115.208.199,443
219,6,172.16.133.28,49284,5.79.25.105,443
219,6,172.16.133.85,51696,64.74.80.244,443
220,6,172.16.133.85,51700,216.219.115.183,443
236,6,172.16.133.132,50395,76.13.6.174,80
280,6,172.16.133.85,51699,216.115.216.31,443
294,6,172.16.133.85,51701,216.115.217.225,443
296,6,172.16.133.132,54610,98.139.161.29,80
312,6,172.16.133.132,44300,98.138.19.88,80
