srcIP,srcPort,dstIP,dstPort,numPackets,numBytes,streamID,maybe_TotalPackets,maybe_PercentFiltered,numPacketsSent,numBytesSent,numPacketsRecv,numBytesRecv,relStartTimestampInSec,duration,bpsSent,bpsRecv
"96.43.146.176",443,"172.16.133.82",61228,113,86644,0,0,0,67,59114,46,27530,0.000322,280.18483200000003,1687,786
"96.43.146.176",443,"172.16.133.82",60073,102,75723,1,0,0,55,39148,47,36575,0.005263,293.89687,1065,995
"172.16.133.103",63406,"216.115.222.200",443,6,366,2,0,0,4,246,2,120,0.006739,0.154404,12745,6217
"172.16.133.43",57700,"172.16.139.250",5440,8,890,3,0,0,8,890,0,0,0.008991,0.004461,"",""
"172.16.133.53",49292,"172.16.139.250",5500,20,1740,4,0,0,20,1740,0,0,0.010924,299.794143,46,0
"157.56.242.198",443,"172.16.133.57",60589,253,149574,5,0,0,127,66335,126,83239,0.01111,125.439016,4230,5308
"172.16.133.114",55270,"67.217.65.49",443,187,15158,6,0,0,120,9282,67,5876,0.011356,121.109776,613,388
"172.16.133.114",55272,"67.217.64.49",443,187,15158,7,0,0,120,9282,67,5876,0.01345,121.10072899999999,613,388
"172.16.133.114",55273,"67.217.66.49",443,187,15158,8,0,0,120,9282,67,5876,0.013451,121.098426,613,388
"172.16.133.13",52976,"172.16.139.250",5440,10,1022,9,0,0,10,1022,0,0,0.013994,0.015441,529499,0
"172.16.133.82",61238,"96.43.146.50",443,53,27844,10,0,0,28,17281,25,10563,0.01486,280.508418,492,301
"172.16.133.82",61240,"96.43.146.50",443,13,780,11,0,0,7,420,6,360,0.014861,270.141358,12,10
"172.16.133.82",61236,"96.43.146.50",443,13,780,12,0,0,7,420,6,360,0.016841,270.063884,12,10
"172.16.133.82",61239,"96.43.146.50",443,13,780,13,0,0,7,420,6,360,0.017845,270.05197699999997,12,10
"172.16.133.82",61237,"96.43.146.50",443,13,780,14,0,0,7,420,6,360,0.017847,270.154705,12,10
"96.43.146.22",443,"172.16.133.109",49451,266,233524,15,0,0,166,217152,100,16372,0.018029,11.941135,145481,10968
"96.43.146.50",443,"172.16.133.82",61247,77,51434,16,0,0,41,27470,36,23964,0.019494,280.584695,783,683
"64.74.80.244",443,"172.16.133.85",51696,309,24876,17,0,0,103,9342,206,15534,0.020024,198.553684,376,625
"216.219.115.183",443,"172.16.133.85",51700,309,24876,18,0,0,103,9342,206,15534,0.021003,198.553554,376,625
"172.16.133.49",54982,"67.217.65.65",443,459,37044,19,0,0,306,23121,153,13923,0.025978,298.220694,620,373
"172.16.133.49",54984,"67.217.64.65",443,461,37201,20,0,0,307,23187,154,14014,0.026039,298.22968,621,375
"172.16.133.49",54985,"67.217.66.65",443,461,37201,21,0,0,307,23187,154,14014,0.026095,298.217566,622,375
"172.16.133.78",58865,"24.44.106.119",18131,532,75948,22,0,0,254,17621,278,58327,0.032049,299.532752,470,1557
"172.16.133.78",62209,"128.119.195.145",38677,367,46443,23,0,0,177,12413,190,34030,0.03205,297.244584,334,915
"172.16.133.113",55582,"172.16.139.250",5462,4,240,24,0,0,4,240,0,0,0.035792,0.0010530000000000053,"",""
"172.16.133.113",56684,"172.16.139.250",5500,500,43964,25,0,0,500,43964,0,0,0.03679,299.763338,1173,0
"172.16.133.82",61249,"96.43.146.176",443,452,380355,26,0,0,156,52073,296,328282,0.053409,299.40695700000003,1391,8771
"172.16.133.75",58186,"157.56.241.150",443,103,21610,27,0,0,57,18850,46,2760,0.059112,245.243254,614,90
"172.16.133.99",51685,"216.115.216.44",443,192,15401,28,0,0,128,9608,64,5793,0.060372,125.726187,611,368
